mesh_id,lon,lat,n_cases,risk_score
14085_03827,140.85468057905868,38.27445835272343,3782,
14085_03828,140.85577417798595,38.28564555971897,2135,
14085_03829,140.85395669051024,38.29516075822604,2097,
14085_03830,140.8536044250364,38.301762358078605,687,
14085_03831,140.85473798416126,38.31454293736501,1389,
14085_03832,140.85886248062013,38.328492480620156,129,
14085_03833,140.85498483425414,38.33607928176796,362,
14085_03834,140.85478358276646,38.34288936507936,441,
14085_03835,140.8584972881356,38.35597293785311,177,
14086_03819,140.86527892761393,38.19644233243968,1119,
14086_03820,140.86931637860084,38.202720411522634,243,0.5453369426067176
14086_03821,140.86505721938775,38.21550018494898,1568,
14086_03822,140.86527834215886,38.223609254582485,2455,
14086_03823,140.8645859515571,38.2356789532872,2312,
14086_03824,140.86551906749557,38.24562428063943,3378,
14086_03825,140.8658366870665,38.255945030599754,2451,
14086_03826,140.86699415635823,38.26521043146957,10105,
14086_03827,140.86619538798857,38.27492306577693,5245,
14086_03828,140.86596413445835,38.28415821992379,3674,
14086_03829,140.86475629664181,38.29388583022388,1072,
14086_03830,140.866469525593,38.30410876404495,801,
14086_03831,140.86568437945792,38.31537369472182,701,
14086_03832,140.86541975524474,38.32742821678321,286,
14086_03833,140.86481456474033,38.33530866861741,1367,
14086_03834,140.8659399386503,38.34262840490798,163,
14086_03835,140.8671648817967,38.355897860520095,846,
14086_03836,140.86464354166665,38.360729375,48,0.5466460602916594
14087_03818,140.8783995890411,38.189690496575345,584,
14087_03819,140.87587658536586,38.194955830206375,2132,0.5531251835051207
14087_03820,140.87546457627118,38.20535073446327,531,
14087_03821,140.87521527141135,38.21515493767592,2487,
14087_03822,140.8746484053685,38.22541671974522,4396,
14087_03823,140.87445569506724,38.23468607623319,2230,
14087_03824,140.87562526777327,38.24569987785782,3193,
14087_03825,140.87554811320754,38.256421589134675,6148,
14087_03826,140.87495055589176,38.26361546987118,11567,
14087_03827,140.87443755654982,38.274891349739,4023,
14087_03828,140.874224969863,38.28454800547945,3650,
14087_03829,140.8741105396619,38.2952166710013,1538,
14087_03830,140.87612679847908,38.30496958935361,1315,
14087_03831,140.87557478142077,38.31425186703097,1098,
14087_03832,140.87398764621284,38.32407042186002,2086,
14087_03833,140.8756444300912,38.335832712765956,2632,
14087_03834,140.8743675947522,38.34363481049562,686,
14087_03835,140.8743706305833,38.35617839726748,1903,
14088_03818,140.88849091304348,38.1896577173913,460,
14088_03819,140.88383964399574,38.19600786928799,1882,
14088_03820,140.885760875,38.20387977777778,720,
14088_03821,140.885244803989,38.21644390990372,2908,
14088_03822,140.8844467572347,38.225785665594856,6220,
14088_03823,140.88609120249728,38.23316847448425,3684,
14088_03824,140.8862845398773,38.24359826993865,5705,
14088_03825,140.88459118421054,38.254954721131185,5092,
14088_03826,140.88320121373252,38.26252434978615,8651,
14088_03827,140.88506779325513,38.27532162756599,4092,
14088_03828,140.88535758490565,38.28475715608919,2915,
14088_03829,140.88636010286552,38.29556113152094,1361,
14088_03830,140.88546233393996,38.30548895814376,2198,
14088_03831,140.8846915613653,38.313116957153234,1377,
14088_03832,140.8837575954679,38.3239864624423,2383,
14088_03833,140.884175126498,38.334848541944076,1502,
14088_03834,140.8853920609319,38.34499012544803,558,
14089_03817,140.89185,38.1715,1,
14089_03819,140.89502548044422,38.19538277160792,2071,
14089_03820,140.89567424271843,38.202254932038834,1030,
14089_03821,140.89402447134785,38.214907280064565,1239,
14089_03822,140.8951490466249,38.22419988401763,4311,
14089_03823,140.8941087661843,38.235317170601675,2626,
14089_03824,140.8938291962306,38.244929332039916,3608,
14089_03825,140.895740225724,38.25506655877342,2348,
14089_03826,140.89396292255685,38.26447715119853,3254,
14089_03827,140.89523490762426,38.27483124381993,3843,
14089_03828,140.8945324674385,38.28587010853835,1382,
14089_03829,140.89480780236747,38.2954963510036,1943,
14089_03830,140.89569453752182,38.30450525887144,1719,
14089_03831,140.89560027247958,38.31553506811989,1101,
14089_03832,140.89438014746545,38.323633124423964,1085,
14089_03833,140.89588793468667,38.336213106796116,1133,
14089_03834,140.89298800613497,38.34109199386503,326,
14090_03818,140.9053036,38.1894548,25,
14090_03819,140.9052929903402,38.19497828643427,2381,
14090_03820,140.90603472694718,38.201382139659806,1117,
14090_03821,140.90445883561642,38.21868273972603,146,
14090_03822,140.90472725050918,38.226093350305504,1964,
14090_03823,140.90550050477069,38.23519744228994,3249,
14090_03824,140.90468513356166,38.24483121232876,2920,
14090_03825,140.90409643792887,38.254657891453526,1603,
14090_03826,140.90461417453722,38.26518264072535,2647,
14090_03827,140.9045863498452,38.27460567182663,3230,
14090_03828,140.90488454046638,38.286585459533605,729,
14090_03829,140.90553332786885,38.29504223497268,1830,
14090_03830,140.90503149932155,38.30357712347354,1474,
14090_03831,140.90411239808154,38.31594306954437,417,
14090_03832,140.90615771066368,38.32367025354213,1341,
14090_03833,140.90420196202533,38.33289151898734,790,
14090_03834,140.90034,38.34019,2,0.550017292062943
14091_03818,140.91300491428572,38.18934082857143,350,
14091_03819,140.91576585397652,38.19391763363755,3068,0.5611181990282581
14091_03820,140.91207327556324,38.202775996533795,577,
14091_03821,140.91775295454545,38.217516568181814,880,
14091_03822,140.9136088030399,38.22510379987334,1579,
14091_03823,140.91318404163675,38.2346667695621,1393,
14091_03824,140.91467158720394,38.24543711165795,3251,
14091_03825,140.91507794396745,38.25543521012201,2213,
14091_03826,140.9140845125448,38.266113093189965,2790,
14091_03827,140.91560208713273,38.274450607902736,1974,
14091_03828,140.91487359706008,38.28618028534371,2313,
14091_03829,140.91455977217248,38.295105777054516,1229,
14091_03830,140.9148401214575,38.30387562753037,247,
14091_03831,140.91422275330396,38.315274449339206,454,
14091_03832,140.9139650502283,38.32537446575343,1095,0.5757211698277962
14091_03833,140.91464733333333,38.33303285,600,0.5536912790362547
14092_03818,140.92093,38.18608,1,
14092_03819,140.92163105736785,38.19444014623172,889,
14092_03820,140.9281718018018,38.20727972972973,111,
14092_03821,140.92530429815017,38.21498494015234,1838,
14092_03822,140.92121147368422,38.22454803508772,570,
14092_03823,140.92719930022574,38.23683306997743,443,
14092_03824,140.92414260255845,38.246239735333035,2267,
14092_03825,140.9233114470046,38.25182221198156,1085,
14092_03826,140.92472873517787,38.26729555335969,506,
